sales_agent_name,resale_transaction_date,sales_agent_reg_num,town,real_estate_company_name
REINE CHAN SHAN SHAN,2024-07-01,R044030F,SENGKANG,PROPSELLER PTE. LTD.
REINE CHAN SHAN SHAN,2024-07-01,R044030F,SENGKANG,PROPSELLER PTE. LTD.
PUYE SHEOW CHING,2024-07-01,R045174Z,PUNGGOL,HUTTONS ASIA PTE. LTD.
SUMANTA DEVNATH,2024-07-01,R045930I,WOODLANDS,PROPSELLER PTE. LTD.
TAN WILSON,2024-07-01,R046264D,BUKIT MERAH,ERA REALTY NETWORK PTE LTD
DUAN WENTING,2024-07-01,R046311Z,BUKIT BATOK,PROPNEX REALTY PTE. LTD.
ANG PEI LEI,2024-07-01,R044234A,GEYLANG,ERA REALTY NETWORK PTE LTD
REINE CHAN SHAN SHAN,2024-07-01,R044030F,SENGKANG,PROPSELLER PTE. LTD.
SHAM NGAI LOONG,2024-07-01,R045502H,SENGKANG,ERA REALTY NETWORK PTE LTD
"LIM MI XUE, MICHELLE",2024-07-01,R045336Z,BEDOK,HUTTONS ASIA PTE. LTD.
ZHAN JUANYONG,2024-07-01,R045645H,WOODLANDS,PROPNEX REALTY PTE. LTD.
LIEW SIET MAY,2024-07-01,R044816A,WOODLANDS,PROPNEX REALTY PTE. LTD.
LEE ENG SIA,2024-07-01,R043562J,KALLANG/WHAMPOA,HUTTONS ASIA PTE. LTD.
ALAN TEO KEK KEONG,2024-07-01,R045969D,BUKIT MERAH,ERA REALTY NETWORK PTE LTD
LEE MAO RONG,2024-07-01,R043920J,YISHUN,PROPNEX REALTY PTE. LTD.
ZHAN JUANYONG,2024-07-01,R045645H,SEMBAWANG,PROPNEX REALTY PTE. LTD.
ONG YU RONG,2024-07-01,R045309B,WOODLANDS,PLB REALTY PTE. LTD.
TAN GEOK CHENG,2024-07-01,R046230Z,BUKIT MERAH,PROPNEX REALTY PTE. LTD.
SNG KIM ENG ANGELA,2024-07-01,R045695D,SEMBAWANG,HUTTONS ASIA PTE. LTD.
REINE CHAN SHAN SHAN,2024-07-01,R044030F,SENGKANG,PROPSELLER PTE. LTD.
"TEO JUN WEI, JONATHAN",2024-07-01,R045368H,PUNGGOL,PROPNEX REALTY PTE. LTD.
REINE CHAN SHAN SHAN,2024-07-01,R044030F,PUNGGOL,PROPSELLER PTE. LTD.
"CHIN GIM HUI, LAURIE",2024-07-01,R046193A,HOUGANG,PROPNEX REALTY PTE. LTD.
SEOW KHENG YONG,2024-07-01,R045555I,YISHUN,PROPNEX REALTY PTE. LTD.
SIM YEOW HEE,2024-07-01,R045528A,PUNGGOL,ERA REALTY NETWORK PTE LTD
SEAH YAO SENG,2024-07-01,R045625C,PUNGGOL,ERA REALTY NETWORK PTE LTD
EFFANDE BIN MOHAMAD YASHIN,2024-07-01,R045260F,TAMPINES,ERA REALTY NETWORK PTE LTD
REINE CHAN SHAN SHAN,2024-07-01,R044030F,SERANGOON,PROPSELLER PTE. LTD.
NURSALIHIN TOHAPUTRA BIN SUDIRMAN,2024-07-01,R043787I,PASIR RIS,PROPNEX REALTY PTE. LTD.
TAN CHIEH SHIH,2024-07-01,R043817D,SENGKANG,PROPNEX REALTY PTE. LTD.
ZHAN JUANYONG,2024-07-01,R045645H,BUKIT MERAH,PROPNEX REALTY PTE. LTD.
ZHAN JUANYONG,2024-07-01,R045645H,SEMBAWANG,PROPNEX REALTY PTE. LTD.
ZHAN JUANYONG,2024-07-01,R045645H,WOODLANDS,PROPNEX REALTY PTE. LTD.
CHUA SOW WANG,2024-07-01,R044817Z,GEYLANG,HUTTONS ASIA PTE. LTD.
TANG KING LEUNG,2024-07-01,R044548J,BEDOK,HUTTONS ASIA PTE. LTD.
FARADILLA BINTE NATHARSAH MARICAR,2024-07-01,R045248G,JURONG WEST,ERA REALTY NETWORK PTE LTD
"HENG TSE-LOONG, LINCOLN",2024-07-01,R045173A,BUKIT BATOK,HUTTONS ASIA PTE. LTD.
"ONG WEE YONG, ROGER",2024-07-01,R044769F,BUKIT PANJANG,PROPNEX REALTY PTE. LTD.
RAIMAH BTE ABD RAHMAN,2024-07-01,R045351C,PUNGGOL,PROPNEX REALTY PTE. LTD.
NG WEI GUAN,2024-07-01,R043795Z,SENGKANG,SINGAPORE ESTATE AGENCY PTE. LTD.
"WEE YUCHENG, EUGENE",2024-07-01,R044915Z,CLEMENTI,PROPNEX REALTY PTE. LTD.
"TAN KANG WEI, ALLAN",2024-07-01,R045155C,JURONG WEST,PROPNEX REALTY PTE. LTD.
LIM KIA SIANG,2024-07-01,R044050J,CLEMENTI,ERA REALTY NETWORK PTE LTD
JOHN YEO CHU KENG,2024-07-01,R045212F,YISHUN,PROPNEX REALTY PTE. LTD.
"CHONG KENG CHYE, WYNSTAN",2024-07-01,R043823I,WOODLANDS,HUTTONS ASIA PTE. LTD.
"KHOO YUE ZE, BRYANT",2024-07-01,R043878F,YISHUN,SRI PTE. LTD.
"HOE EE LOON, MALCOLM",2024-07-01,R045318A,SEMBAWANG,HUTTONS ASIA PTE. LTD.
SUMANTA DEVNATH,2024-07-01,R045930I,SEMBAWANG,PROPSELLER PTE. LTD.
EFFANDE BIN MOHAMAD YASHIN,2024-07-01,R045260F,WOODLANDS,ERA REALTY NETWORK PTE LTD
NG WEI GUAN,2024-07-01,R043795Z,JURONG EAST,SINGAPORE ESTATE AGENCY PTE. LTD.
TANG WAI LEONG,2024-07-01,R043749F,CLEMENTI,PROPNEX REALTY PTE. LTD.
ZHANG LU,2024-07-01,R044936B,TOA PAYOH,PROPNEX REALTY PTE. LTD.
WU RENWEI,2024-07-01,R044400Z,QUEENSTOWN,PROPNEX REALTY PTE. LTD.
LAY PENG SCHOENENBERGER,2024-07-01,R046135D,YISHUN,PROPNEX REALTY PTE. LTD.
SHAO INN TIAN,2024-07-01,R043658I,SERANGOON,PROPNEX REALTY PTE. LTD.
WOO WEI YEN,2024-07-01,R043671F,TAMPINES,HUTTONS ASIA PTE. LTD.
SUMANTA DEVNATH,2024-07-01,R045930I,CHOA CHU KANG,PROPSELLER PTE. LTD.
THAM KAI CHIEW,2024-07-01,R044258I,BUKIT MERAH,ORANGETEE & TIE PTE. LTD.
CHUA XIN YAN,2024-07-01,R044312G,SENGKANG,PROPNEX REALTY PTE. LTD.
TANG KING LEUNG,2024-07-01,R044548J,CLEMENTI,HUTTONS ASIA PTE. LTD.
RITA WAHYUNI BINTI SABAR,2024-07-01,R044359C,ANG MO KIO,PROPNEX REALTY PTE. LTD.
"YEEN PEI PEI, RACHEL",2024-07-01,R045908B,CENTRAL AREA,HUTTONS ASIA PTE. LTD.
GLENDA WEE WEN YEA,2024-07-01,R045979A,HOUGANG,PROPNEX REALTY PTE. LTD.
SIM CHIEW HIANG,2024-07-01,R043779H,BUKIT PANJANG,PROPNEX REALTY PTE. LTD.
CHONG KIAN CHEW,2024-07-01,R044999J,WOODLANDS,ERA REALTY NETWORK PTE LTD
NG WEI GUAN,2024-07-01,R043795Z,PUNGGOL,SINGAPORE ESTATE AGENCY PTE. LTD.
VIANNA TAN SIEW KHIM,2024-07-01,R044470J,SENGKANG,HUTTONS ASIA PTE. LTD.
GOH BOON KIM,2024-07-01,R044295C,ANG MO KIO,SRI PTE. LTD.
POH WEI KONG,2024-07-01,R043788G,YISHUN,PROPNEX REALTY PTE. LTD.
YEO SEET WEI,2024-07-01,R044069A,QUEENSTOWN,PROPNEX REALTY PTE. LTD.
YEO LI LIN,2024-07-01,R044135C,SERANGOON,ERA REALTY NETWORK PTE LTD
MEERASHA BIN ABDUL KADIR,2024-07-01,R044696G,TAMPINES,ERA REALTY NETWORK PTE LTD
"LIM ZHEN WEI, JOEY",2024-07-01,R043510H,ANG MO KIO,ERA REALTY NETWORK PTE LTD
KUEK SONG HAN,2024-07-01,R045852C,JURONG WEST,ERA REALTY NETWORK PTE LTD
SUMANTA DEVNATH,2024-07-01,R045930I,SEMBAWANG,PROPSELLER PTE. LTD.
REINE CHAN SHAN SHAN,2024-08-01,R044030F,HOUGANG,PROPSELLER PTE. LTD.
PUYE SHEOW CHING,2024-08-01,R045174Z,PASIR RIS,HUTTONS ASIA PTE. LTD.
TEO CHIN GUAN,2024-08-01,R043693G,CHOA CHU KANG,ERA REALTY NETWORK PTE LTD
CHUA PUE HOON,2024-08-01,R043530B,BUKIT MERAH,ORANGETEE & TIE PTE. LTD.
HSU CHIA YEE,2024-08-01,R044037C,JURONG WEST,PROPNEX REALTY PTE. LTD.
LIM SZE KEONG,2024-08-01,R043836J,KALLANG/WHAMPOA,SINGAPORE ESTATE AGENCY PTE. LTD.
REINE CHAN SHAN SHAN,2024-08-01,R044030F,SENGKANG,PROPSELLER PTE. LTD.
RON CHONG KER CHUEN,2024-08-01,R044800E,CLEMENTI,HUTTONS ASIA PTE. LTD.
SIM YEOW HEE,2024-08-01,R045528A,PASIR RIS,ERA REALTY NETWORK PTE LTD
"ONG YONG HWEE, SUNNY",2024-08-01,R043825E,BUKIT MERAH,HUTTONS ASIA PTE. LTD.
"LIM YEW LI, JOSEPH",2024-08-01,R043901D,TOA PAYOH,ERA REALTY NETWORK PTE LTD
GLENDA WEE WEN YEA,2024-08-01,R045979A,HOUGANG,PROPNEX REALTY PTE. LTD.
CHIA ZHEN LONG,2024-08-01,R043822J,ANG MO KIO,PROPNEX REALTY PTE. LTD.
"LIM ZHEN WEI, JOEY",2024-08-01,R043510H,TAMPINES,ERA REALTY NETWORK PTE LTD
SHERON ENG,2024-08-01,R044208B,ANG MO KIO,PROPNEX REALTY PTE. LTD.
LIM KIA SIANG,2024-08-01,R044050J,KALLANG/WHAMPOA,ERA REALTY NETWORK PTE LTD
GAN SOK HOON,2024-08-01,R046068D,BUKIT BATOK,PROPNEX REALTY PTE. LTD.
ZHAN JUANYONG,2024-08-01,R045645H,JURONG WEST,PROPNEX REALTY PTE. LTD.
LIN SHI ZHEN,2024-08-01,R043462D,BEDOK,PROPNEX REALTY PTE. LTD.
CHUA CI'EN,2024-08-01,R045561C,GEYLANG,HUTTONS ASIA PTE. LTD.
AIDA NORZEHAN BINTI AB TALIB,2024-08-01,R045172C,YISHUN,ERA REALTY NETWORK PTE LTD
NURASHIKIN BINTE JASNI,2024-08-01,R044963Z,PUNGGOL,PROPNEX REALTY PTE. LTD.
NG WEI GUAN,2024-08-01,R043795Z,PUNGGOL,SINGAPORE ESTATE AGENCY PTE. LTD.
KOH JIN MIN,2024-08-01,R045184G,KALLANG/WHAMPOA,PROPNEX REALTY PTE. LTD.
"YANG YUQIANG, JARALDMINE",2024-08-01,R044380A,HOUGANG,ERA REALTY NETWORK PTE LTD
"CHOW WAI HONG, NIGEL",2024-08-01,R045616D,PASIR RIS,ERA REALTY NETWORK PTE LTD
LIEU CHEE KEEN,2024-08-01,R045564H,KALLANG/WHAMPOA,PROPNEX REALTY PTE. LTD.
SUMANTA DEVNATH,2024-08-01,R045930I,YISHUN,PROPSELLER PTE. LTD.
"CHOW WAI HONG, NIGEL",2024-08-01,R045616D,TAMPINES,ERA REALTY NETWORK PTE LTD
"YANG YUQIANG, JARALDMINE",2024-08-01,R044380A,HOUGANG,ERA REALTY NETWORK PTE LTD
"CHOW WAI HONG, NIGEL",2024-08-01,R045616D,PASIR RIS,ERA REALTY NETWORK PTE LTD
LIEU CHEE KEEN,2024-08-01,R045564H,KALLANG/WHAMPOA,PROPNEX REALTY PTE. LTD.
SUMANTA DEVNATH,2024-08-01,R045930I,YISHUN,PROPSELLER PTE. LTD.
"CHOW WAI HONG, NIGEL",2024-08-01,R045616D,TAMPINES,ERA REALTY NETWORK PTE LTD
MABEL YAP BEE POH,2024-08-01,R044684C,BUKIT MERAH,PROPNEX REALTY PTE. LTD.
ETHEL LAM YI JU,2024-08-01,R045487J,SERANGOON,PROPNEX REALTY PTE. LTD.
REINE CHAN SHAN SHAN,2024-08-01,R044030F,SERANGOON,PROPSELLER PTE. LTD.
TAN HAN BOON,2024-08-01,R044833A,TAMPINES,ERA REALTY NETWORK PTE LTD
TAN HAN BOON,2024-08-01,R044833A,BUKIT PANJANG,ERA REALTY NETWORK PTE LTD
GOH BETTY,2024-08-01,R044749A,JURONG EAST,ERA REALTY NETWORK PTE LTD
YAO HUIHONG,2024-08-01,R045553B,SENGKANG,ERA REALTY NETWORK PTE LTD
"TAN KANG WEI, ALLAN",2024-08-01,R045155C,SENGKANG,PROPNEX REALTY PTE. LTD.
EMMELINE KOH XUANLING,2024-08-01,R045542G,CENTRAL AREA,PROPNEX REALTY PTE. LTD.
SEAH HOU KIAT,2024-08-01,R044033J,HOUGANG,PROPNEX REALTY PTE. LTD.
ZHAN JUANYONG,2024-08-01,R045645H,JURONG WEST,PROPNEX REALTY PTE. LTD.
"LI YEWEN, ADRIEL",2024-08-01,R045057C,PUNGGOL,PROPNEX REALTY PTE. LTD.
IVY LIM PING PING,2024-08-01,R045590G,ANG MO KIO,HUTTONS ASIA PTE. LTD.
"WEE YUCHENG, EUGENE",2024-08-01,R044915Z,CLEMENTI,PROPNEX REALTY PTE. LTD.
YONG JEN JEN JENNY,2024-08-01,R043750Z,TAMPINES,HUTTONS ASIA PTE. LTD.
SHAM NGAI LOONG,2024-08-01,R045502H,WOODLANDS,ERA REALTY NETWORK PTE LTD
TEO JIA EN,2024-08-01,R046039J,TAMPINES,ERA REALTY NETWORK PTE LTD
HSU CHIA YEE,2024-08-01,R044037C,JURONG EAST,PROPNEX REALTY PTE. LTD.
CHONG KIAN CHEW,2024-08-01,R044999J,ANG MO KIO,ERA REALTY NETWORK PTE LTD
YEO INN SIANG,2024-08-01,R045707A,ANG MO KIO,ERA REALTY NETWORK PTE LTD
"LEONG ZHAN HAO, LIONEL",2024-08-01,R044508A,JURONG EAST,PROPNEX REALTY PTE. LTD.
"KHOO YUE ZE, BRYANT",2024-08-01,R043878F,CHOA CHU KANG,SRI PTE. LTD.
"KHOO YUE ZE, BRYANT",2024-08-01,R043878F,CHOA CHU KANG,SRI PTE. LTD.
MEERASHA BIN ABDUL KADIR,2024-08-01,R044696G,HOUGANG,ERA REALTY NETWORK PTE LTD
EFFANDE BIN MOHAMAD YASHIN,2024-08-01,R045260F,KALLANG/WHAMPOA,ERA REALTY NETWORK PTE LTD
LEE PAK LOON,2024-08-01,R043557D,YISHUN,HUTTONS ASIA PTE. LTD.
TAN HOCK CHAI,2024-08-01,R044416F,HOUGANG,ERA REALTY NETWORK PTE LTD
HAMZAH BIN SALLEH,2024-08-01,R045202I,CHOA CHU KANG,ERA REALTY NETWORK PTE LTD
KOK SEOW CHENG,2024-08-01,R045288F,TOA PAYOH,PROPNEX REALTY PTE. LTD.
LEE MAO RONG,2024-08-01,R043920J,PUNGGOL,PROPNEX REALTY PTE. LTD.
LEE CHERN SIANG,2024-08-01,R043794A,PUNGGOL,PROPNEX REALTY PTE. LTD.
TOH WEE LI,2024-08-01,R044945A,PUNGGOL,HUTTONS ASIA PTE. LTD.
LIM TECK YONG,2024-08-01,R043548E,ANG MO KIO,ERA REALTY NETWORK PTE LTD
ZHAN JUANYONG,2024-08-01,R045645H,WOODLANDS,PROPNEX REALTY PTE. LTD.
LEE PAK LOON,2024-08-01,R043557D,YISHUN,HUTTONS ASIA PTE. LTD.
"LEONG ZHAN HAO, LIONEL",2024-08-01,R044508A,BUKIT BATOK,PROPNEX REALTY PTE. LTD.
TANG WAI LEONG,2024-08-01,R043749F,BUKIT BATOK,PROPNEX REALTY PTE. LTD.
MAK TING YUAN CLAY,2024-08-01,R045244D,CLEMENTI,ERA REALTY NETWORK PTE LTD
"TAN YIN YIN, EMILY",2024-08-01,R046234B,BEDOK,ERA REALTY NETWORK PTE LTD
CHONG KIAN CHEW,2024-08-01,R044999J,JURONG EAST,ERA REALTY NETWORK PTE LTD
KOH KIM LEE,2024-08-01,R043766F,JURONG WEST,PROPNEX REALTY PTE. LTD.
RITA WAHYUNI BINTI SABAR,2024-08-01,R044359C,WOODLANDS,PROPNEX REALTY PTE. LTD.
ZHAN JUANYONG,2024-08-01,R045645H,PUNGGOL,PROPNEX REALTY PTE. LTD.
"LOW XUAN WEI, DERRICK",2024-08-01,R044395Z,BEDOK,ERA REALTY NETWORK PTE LTD
HOON YEN LENG,2024-08-01,R044742D,QUEENSTOWN,ORANGETEE & TIE PTE. LTD.
"GOH GUI ZHEN, SERENA",2024-08-01,R043860C,QUEENSTOWN,PROPNEX REALTY PTE. LTD.
TAY BOON WEE,2024-08-01,R045187A,YISHUN,ERA REALTY NETWORK PTE LTD
PEH XIN RU CORINE,2024-08-01,R043821B,JURONG WEST,ERA REALTY NETWORK PTE LTD
NURSALIHIN TOHAPUTRA BIN SUDIRMAN,2024-08-01,R043787I,SENGKANG,PROPNEX REALTY PTE. LTD.
REINE CHAN SHAN SHAN,2024-08-01,R044030F,PUNGGOL,PROPSELLER PTE. LTD.
TAN MEIXUAN MICHELLE,2024-08-01,R046003Z,BEDOK,HUTTONS ASIA PTE. LTD.
TANG WAI LEONG,2024-08-01,R043749F,PUNGGOL,PROPNEX REALTY PTE. LTD.
LIAN JUNSHI,2024-08-01,R043786J,TOA PAYOH,PROPNEX REALTY PTE. LTD.
"LOW XUAN WEI, DERRICK",2024-08-01,R044395Z,HOUGANG,ERA REALTY NETWORK PTE LTD
TAN CHIEH SHIH,2024-08-01,R043817D,JURONG WEST,PROPNEX REALTY PTE. LTD.
NAH KOK HUA NICHOLAS,2024-08-01,R044857I,BUKIT BATOK,SOLID ROCK PROPERTIES PTE. LTD.
ZAW MIN OO,2024-08-01,R045213D,BEDOK,ERA REALTY NETWORK PTE LTD
TAN HAN BOON,2024-08-01,R044833A,BUKIT BATOK,ERA REALTY NETWORK PTE LTD
YEO SEET WEI,2024-08-01,R044069A,BEDOK,PROPNEX REALTY PTE. LTD.
SEAH YAO SENG,2024-08-01,R045625C,PASIR RIS,ERA REALTY NETWORK PTE LTD
"LOW XUAN WEI, DERRICK",2024-08-01,R044395Z,TOA PAYOH,ERA REALTY NETWORK PTE LTD
REINE CHAN SHAN SHAN,2024-08-01,R044030F,HOUGANG,PROPSELLER PTE. LTD.
"CHONG KENG CHYE, WYNSTAN",2024-08-01,R043823I,SEMBAWANG,HUTTONS ASIA PTE. LTD.
SIM CHIEW HIANG,2024-08-01,R043779H,BUKIT MERAH,PROPNEX REALTY PTE. LTD.
VIANNA TAN SIEW KHIM,2024-08-01,R044470J,SENGKANG,HUTTONS ASIA PTE. LTD.
HONG TEIK MUN,2024-08-01,R045166I,PUNGGOL,PROPNEX REALTY PTE. LTD.
TAN HAN BOON,2024-08-01,R044833A,BUKIT BATOK,ERA REALTY NETWORK PTE LTD
MEERASHA BIN ABDUL KADIR,2024-08-01,R044696G,WOODLANDS,ERA REALTY NETWORK PTE LTD
TONY ONG KIAN BENG,2024-08-01,R043830A,YISHUN,PROPNEX REALTY PTE. LTD.
ZHAN JUANYONG,2024-08-01,R045645H,JURONG WEST,PROPNEX REALTY PTE. LTD.
NG SOOK WEI WENDY,2024-08-01,R045631H,BEDOK,ORANGETEE & TIE PTE. LTD.
WILLIAM TAN WEI LIANG,2024-08-01,R044545F,TAMPINES,ERA REALTY NETWORK PTE LTD
"ONG KOK YONG, EDDY",2024-08-01,R044677J,YISHUN,ERA REALTY NETWORK PTE LTD
TONY ONG KIAN BENG,2024-08-01,R043830A,SENGKANG,PROPNEX REALTY PTE. LTD.
GRESSA MAK WEI ZHI,2024-08-01,R043680E,PASIR RIS,PROPNEX REALTY PTE. LTD.
TANG KING LEUNG,2024-08-01,R044548J,SENGKANG,HUTTONS ASIA PTE. LTD.
LIM SZE KEONG,2024-08-01,R043836J,SENGKANG,SINGAPORE ESTATE AGENCY PTE. LTD.
TAN KENG SENG ALBERT,2024-08-01,R045222C,YISHUN,PROPNEX REALTY PTE. LTD.
"LEONG ZHAN HAO, LIONEL",2024-08-01,R044508A,CLEMENTI,PROPNEX REALTY PTE. LTD.
LOW PUI KUEN,2024-08-01,R046257A,JURONG EAST,ERA REALTY NETWORK PTE LTD
"LEONG ZHAN HAO, LIONEL",2024-08-01,R044508A,CHOA CHU KANG,PROPNEX REALTY PTE. LTD.
LOW PUI KUEN,2024-08-01,R046257A,JURONG EAST,ERA REALTY NETWORK PTE LTD
WONG CHING WEEN,2024-08-01,R044640A,CHOA CHU KANG,SN REAL ESTATE PTE. LTD.
SUMANTA DEVNATH,2024-08-01,R045930I,WOODLANDS,PROPSELLER PTE. LTD.
EFFANDE BIN MOHAMAD YASHIN,2024-08-01,R045260F,JURONG WEST,ERA REALTY NETWORK PTE LTD
"YANG YUQIANG, JARALDMINE",2024-08-01,R044380A,WOODLANDS,ERA REALTY NETWORK PTE LTD
GLENDA WEE WEN YEA,2024-08-01,R045979A,SENGKANG,PROPNEX REALTY PTE. LTD.
TAY BOON WEE,2024-08-01,R045187A,BUKIT PANJANG,ERA REALTY NETWORK PTE LTD
NANCY ARUMSARI HIDAJAT,2024-08-01,R045224Z,SENGKANG,PROPNEX REALTY PTE. LTD.
"LEONG ZHAN HAO, LIONEL",2024-08-01,R044508A,YISHUN,PROPNEX REALTY PTE. LTD.
TAN CHIEH SHIH,2024-08-01,R043817D,KALLANG/WHAMPOA,PROPNEX REALTY PTE. LTD.
JERMAINE SEAH BING KIAT,2024-08-01,R046096Z,TAMPINES,ERA REALTY NETWORK PTE LTD
"TAY SI HAO, EDWIN",2024-08-01,R046337C,WOODLANDS,ERA REALTY NETWORK PTE LTD
QUEK MUI HWA,2024-08-01,R044950H,JURONG WEST,ERA REALTY NETWORK PTE LTD
CHEW SOK PENG,2024-08-01,R046028E,JURONG WEST,ERA REALTY NETWORK PTE LTD
ANG KENG LIANG,2024-09-01,R044935D,KALLANG/WHAMPOA,SRI PTE. LTD.
MUHAMMAD JEFFRI BIN YAHYA,2024-09-01,R043933B,KALLANG/WHAMPOA,PROPNEX REALTY PTE. LTD.
"ONG YONG HWEE, SUNNY",2024-09-01,R043825E,MARINE PARADE,HUTTONS ASIA PTE. LTD.
MUHAMMAD JEFFRI BIN YAHYA,2024-09-01,R043933B,PASIR RIS,PROPNEX REALTY PTE. LTD.
NURASHIKIN BINTE JASNI,2024-09-01,R044963Z,BUKIT MERAH,PROPNEX REALTY PTE. LTD.
NURASHIKIN BINTE JASNI,2024-09-01,R044963Z,JURONG EAST,PROPNEX REALTY PTE. LTD.
"TAY SI HAO, EDWIN",2024-09-01,R046337C,BEDOK,ERA REALTY NETWORK PTE LTD
"YEEN PEI PEI, RACHEL",2024-09-01,R045908B,ANG MO KIO,HUTTONS ASIA PTE. LTD.
SEK KOK TIONG,2024-09-01,R044452B,ANG MO KIO,PROPNEX REALTY PTE. LTD.
LIN JUNHONG,2024-09-01,R045696B,BUKIT MERAH,PROPNEX REALTY PTE. LTD.
NG WEI GUAN,2024-09-01,R043795Z,PUNGGOL,SINGAPORE ESTATE AGENCY PTE. LTD.
EFFANDE BIN MOHAMAD YASHIN,2024-09-01,R045260F,WOODLANDS,ERA REALTY NETWORK PTE LTD
"LEONG ZHAN HAO, LIONEL",2024-09-01,R044508A,TOA PAYOH,PROPNEX REALTY PTE. LTD.
"YANG EE TING, SHARON",2024-09-01,R045206A,ANG MO KIO,PROPNEX REALTY PTE. LTD.
TAN HAN BOON,2024-09-01,R044833A,CLEMENTI,ERA REALTY NETWORK PTE LTD
HOON YEN LENG,2024-09-01,R044742D,TOA PAYOH,ORANGETEE & TIE PTE. LTD.
CHEW WEE LING,2024-09-01,R045281I,HOUGANG,SRI PTE. LTD.
SNG KIM ENG ANGELA,2024-09-01,R045695D,WOODLANDS,HUTTONS ASIA PTE. LTD.
TAN MEI LING ARIANA,2024-09-01,R046064A,JURONG WEST,ERA REALTY NETWORK PTE LTD
AIDA NORZEHAN BINTI AB TALIB,2024-09-01,R045172C,SENGKANG,ERA REALTY NETWORK PTE LTD
TAN CHIEH SHIH,2024-09-01,R043817D,JURONG EAST,PROPNEX REALTY PTE. LTD.
TAN HOCK CHAI,2024-09-01,R044416F,HOUGANG,ERA REALTY NETWORK PTE LTD
TAN HAN BOON,2024-09-01,R044833A,YISHUN,ERA REALTY NETWORK PTE LTD
MINNA KOH MIAN NAH,2024-09-01,R046122B,WOODLANDS,PROPNEX REALTY PTE. LTD.
GLENDA WEE WEN YEA,2024-09-01,R045979A,BISHAN,PROPNEX REALTY PTE. LTD.
"ZHUO YILING, CLAUDINE",2024-09-01,R044464F,SERANGOON,PROPNEX REALTY PTE. LTD.
SNG KIM ENG ANGELA,2024-09-01,R045695D,PASIR RIS,HUTTONS ASIA PTE. LTD.
ZHAN JUANYONG,2024-09-01,R045645H,BUKIT BATOK,PROPNEX REALTY PTE. LTD.
"YEO HUI TING, JOYCE",2024-09-01,R045021B,QUEENSTOWN,PROPNEX REALTY PTE. LTD.
TAN HAN BOON,2024-09-01,R044833A,YISHUN,ERA REALTY NETWORK PTE LTD
MOHAMED ASRI BIN MOHAMED RASHID,2024-09-01,R046322E,YISHUN,SRI PTE. LTD.
ZHAN JUANYONG,2024-09-01,R045645H,BUKIT BATOK,PROPNEX REALTY PTE. LTD.
JOY TOH LYE FUN,2024-09-01,R045565F,CLEMENTI,PROPNEX REALTY PTE. LTD.
ONG PECK HWAN (WANG BIWAN),2024-09-01,R045193F,TOA PAYOH,ERA REALTY NETWORK PTE LTD
WU RENWEI,2024-09-01,R044400Z,BISHAN,PROPNEX REALTY PTE. LTD.
ZHAN JUANYONG,2024-09-01,R045645H,SEMBAWANG,PROPNEX REALTY PTE. LTD.
REINE CHAN SHAN SHAN,2024-09-01,R044030F,SENGKANG,PROPSELLER PTE. LTD.
CHEW YIN XIAN,2024-09-01,R046101Z,YISHUN,PROPNEX REALTY PTE. LTD.
YEO INN SIANG,2024-09-01,R045707A,YISHUN,ERA REALTY NETWORK PTE LTD
LEE CHERN SIANG,2024-09-01,R043794A,HOUGANG,PROPNEX REALTY PTE. LTD.
LANDON CHIAN,2024-09-01,R045493E,KALLANG/WHAMPOA,PROPERTY MASTER REALTY PTE. LTD.
FARADILLA BINTE NATHARSAH MARICAR,2024-09-01,R045248G,YISHUN,ERA REALTY NETWORK PTE LTD
HAMZAH BIN SALLEH,2024-09-01,R045202I,CHOA CHU KANG,ERA REALTY NETWORK PTE LTD
NG WEI GUAN,2024-09-01,R043795Z,PUNGGOL,SINGAPORE ESTATE AGENCY PTE. LTD.
TAN WILSON,2024-09-01,R046264D,GEYLANG,ERA REALTY NETWORK PTE LTD
TAN JUAN KEAT,2024-09-01,R043818B,ANG MO KIO,ERA REALTY NETWORK PTE LTD
SEAH YAO SENG,2024-09-01,R045625C,QUEENSTOWN,ERA REALTY NETWORK PTE LTD
FARADILLA BINTE NATHARSAH MARICAR,2024-09-01,R045248G,YISHUN,ERA REALTY NETWORK PTE LTD
REINE CHAN SHAN SHAN,2024-09-01,R044030F,SERANGOON,PROPSELLER PTE. LTD.
TAN BOON KHENG,2024-09-01,R044230I,WOODLANDS,ERA REALTY NETWORK PTE LTD
"LIEW ZHEN LING, JOYCE",2024-09-01,R045607E,PUNGGOL,PROPNEX REALTY PTE. LTD.
REINE CHAN SHAN SHAN,2024-09-01,R044030F,SENGKANG,PROPSELLER PTE. LTD.
TAN HAN BOON,2024-09-01,R044833A,BUKIT BATOK,ERA REALTY NETWORK PTE LTD
REINE CHAN SHAN SHAN,2024-09-01,R044030F,PUNGGOL,PROPSELLER PTE. LTD.
TAN HAN BOON,2024-09-01,R044833A,JURONG WEST,ERA REALTY NETWORK PTE LTD
EFFANDE BIN MOHAMAD YASHIN,2024-09-01,R045260F,SEMBAWANG,ERA REALTY NETWORK PTE LTD
REINE CHAN SHAN SHAN,2024-09-01,R044030F,ANG MO KIO,PROPSELLER PTE. LTD.
